n,base,base_nomenclature,order_no,line_no,del_no,supply_code,priority,part_number,spec_number,cage_code,part_description,demand_total_qty,uai,tail_number,variant,iwerk_customer,co_status,date_planned,ifs_delivered_date_uni,ifs_inv_closed_date,ifs_co_type,customer_no,po_num,po_status,wo_description,cust_wo_ref,rep_ind,unified_cwt,base_conus_oconus_afloat,smr_cd,created,date_released,date_reserved,date_partial_delivery,to_qty_dlvrd,squadron_name,adjusted_metric_priority,ia_code,gie_cleansed_datetime,categorization,is_tctd_demand,target
2035,KLUF,LUKE AFB,142657,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,4/7/2020 15:39,4/7/2020 15:49,4/7/2020 15:52,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,4/7/2020,4/7/2020 15:39,4/7/2020 15:39,null,1,null,3,J56,4/7/2020 15:39,GIE Demand,FALSE,0.006944445
2036,KLUF,LUKE AFB,186903,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,3/18/2021 14:49,3/18/2021 14:57,3/18/2021 15:00,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,3/18/2021,3/18/2021 14:49,3/18/2021 14:49,null,1,null,3,J56,3/18/2021 14:49,GIE Demand,FALSE,0.005555556
2037,KLUF,LUKE AFB,60849,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,3/1/2018 10:59,3/1/2018 11:17,3/1/2018 11:20,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,3/1/2018,3/1/2018 10:59,3/1/2018 10:59,null,1,null,3,J56,3/1/2018 10:59,GIE Demand,FALSE,0.0125
2038,KLUF,LUKE AFB,234136,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,4/6/2022 13:42,4/6/2022 13:54,4/6/2022 13:58,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,4/6/2022,4/6/2022 13:42,4/6/2022 13:42,null,1,null,3,J56,4/6/2022 13:42,GIE Demand,FALSE,0.008333334
2039,KLUF,LUKE AFB,177245,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,12/29/2020 14:19,12/29/2020 14:35,12/29/2020 15:19,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,12/29/2020,12/29/2020 14:19,12/29/2020 14:19,null,1,null,3,J56,12/29/2020 14:19,GIE Demand,FALSE,0.011111111
2040,KLUF,LUKE AFB,130356,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,12/16/2019 14:35,12/16/2019 14:43,12/16/2019 14:48,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,12/16/2019,12/16/2019 14:35,12/16/2019 14:35,null,1,null,3,J56,12/16/2019 14:35,GIE Demand,FALSE,0.005555556
192830,KNYL,MCAS YUMA,52176,1,1,Invent Order,2,MRI MBM1280/1,2ZWH60706-0001,U1816,"WUC,EXT,WEAPON,AGP",1,null,null,null,USMC,Invoiced/Closed,9/18/2019 15:16,9/19/2019 13:20,9/25/2019 22:01,SO,GE3,null,null,null,null,Consumable,0.91,ConUS,PAOOOP,9/18/2019,9/18/2019 15:16,9/18/2019 15:17,null,1,null,2,J89,9/18/2019 15:16,GIE Demand,FALSE,0.91944444
192831,S118,ANG BURLINGTON,1491,1,1,Invent Order,2,MRI MBM1280/1,2ZWH60706-0001,U1816,"WUC,EXT,WEAPON,AGP",1,null,null,null,Vermont ANG,Invoiced/Closed,9/5/2019 11:38,9/8/2019 14:22,9/11/2019 13:57,SO,158S,null,null,null,null,Consumable,3.1,ConUS,PAOOOP,9/5/2019,9/5/2019 11:38,9/5/2019 11:38,null,1,null,2,J89,9/5/2019 11:38,GIE Demand,FALSE,3.113889
192832,EGYM,RAF MARHAM,32193,1,1,Invent Order,2,MRI MBM1280/1,2ZWH60706-0001,U1816,"WUC,EXT,WEAPON,AGP",1,null,null,null,RAF,Invoiced/Closed,6/8/2021 10:10,6/8/2021 12:30,6/8/2021 12:32,SO,MRM,null,null,null,null,Consumable,0.1,OConUS,PAOOOP,6/8/2021,6/8/2021 10:10,6/8/2021 10:10,null,1,null,2,J89,6/8/2021 10:10,GIE Demand,FALSE,0.097222224
192833,KNLC,NAS LEMOORE,64600,1,1,Invent Order,2,MRI MBM1280/1,2ZWH60706-0001,U1816,"WUC,EXT,WEAPON,AGP",1,null,null,null,USN,Invoiced/Closed,2/9/2022 7:32,2/9/2022 18:52,2/9/2022 22:57,SO,PJ2,null,null,null,null,Consumable,0.47,ConUS,PAOOOP,2/9/2022,2/9/2022 7:32,2/9/2022 7:32,null,1,null,2,J89,2/9/2022 7:32,GIE Demand,FALSE,0.4722222
192834,YWLM,RAAF WILLIAMTOWN,50059,1,1,Invent Order,2,MRI MBM1280/1,2ZWH60706-0001,U1816,"WUC,EXT,WEAPON,AGP",1,null,null,null,RAAF,Invoiced/Closed,11/3/2022 4:10,11/3/2022 9:24,11/3/2022 10:19,SO,3SQN,null,null,null,null,Consumable,0.22,OConUS,PAOOOP,11/3/2022,11/3/2022 4:10,11/3/2022 4:10,null,1,null,2,J89,11/3/2022 4:10,GIE Demand,FALSE,0.21805556
192835,S118,ANG BURLINGTON,2569,1,1,Invent Order,2,MRI MBM1280/1,2ZWH60706-0001,U1816,"WUC,EXT,WEAPON,AGP",1,null,null,null,Vermont ANG,Invoiced/Closed,11/5/2019 18:51,11/5/2019 20:19,11/6/2019 11:36,SO,158S,null,null,null,null,Consumable,0.06,ConUS,PAOOOP,11/5/2019,11/5/2019 18:51,11/5/2019 18:51,null,1,null,2,J89,11/5/2019 18:51,GIE Demand,FALSE,0.06111111
192836,KNYL,MCAS YUMA,52293,1,1,Invent Order,2,MRI MBM1280/1,2ZWH60706-0001,U1816,"WUC,EXT,WEAPON,AGP",1,null,null,null,USMC,Invoiced/Closed,9/18/2019 15:36,9/19/2019 13:22,9/19/2019 18:47,SO,GJ3,null,null,null,null,Consumable,0.9,ConUS,PAOOOP,9/18/2019,9/18/2019 15:36,9/18/2019 15:36,null,1,null,2,J89,9/18/2019 15:36,GIE Demand,FALSE,0.90694445
192837,EGYM,RAF MARHAM,46070,1,1,Invent Order,2,MRI MBM1280/1,2ZWH60706-0001,U1816,"WUC,EXT,WEAPON,AGP",1,null,null,null,RAF,Invoiced/Closed,6/20/2022 12:58,6/20/2022 13:09,6/20/2022 13:13,SO,MRM,null,null,null,null,Consumable,0.01,OConUS,PAOOOP,6/20/2022,6/20/2022 12:58,6/20/2022 12:58,null,1,null,2,J89,6/20/2022 12:58,GIE Demand,FALSE,0.007638889
192838,S118,ANG BURLINGTON,16644,1,1,Invent Order,2,MRI MBM1280/1,2ZWH60706-0001,U1816,"WUC,EXT,WEAPON,AGP",1,null,null,null,Vermont ANG,Invoiced/Closed,10/11/2022 15:57,10/12/2022 14:26,10/12/2022 19:52,SO,158S,null,null,null,null,Consumable,0.93,ConUS,PAOOOP,10/11/2022,10/11/2022 15:57,10/11/2022 15:57,null,1,null,2,J89,10/11/2022 15:57,GIE Demand,FALSE,0.93680555
192839,KNKX,MCAS MIRAMAR,30417,1,1,Invent Order,2,MRI MBM1280/1,2ZWH60706-0001,U1816,"WUC,EXT,WEAPON,AGP",1,null,null,null,USMC,Invoiced/Closed,1/20/2023 16:26,1/20/2023 17:28,1/20/2023 20:07,SO,GG7,null,null,null,null,Consumable,0.04,ConUS,PAOOOP,1/20/2023,1/20/2023 16:26,1/20/2023 16:27,null,1,null,2,J89,1/20/2023 16:26,GIE Demand,FALSE,0.043055557
192840,S100,ROKAF CHEONGJU,14035,1,1,Invent Order,3,MRI MBM1280/1,2ZWH60706-0001,U1816,"WUC,EXT,WEAPON,AGP",1,null,null,null,ROKAF,Invoiced/Closed,2/23/2021 0:26,2/23/2021 5:14,2/23/2021 10:01,SO,KR01,null,null,null,null,Consumable,0.2,OConUS,PAOOOP,2/23/2021,2/23/2021 0:26,2/23/2021 0:26,null,1,null,3,J89,2/23/2021 0:26,GIE Demand,FALSE,0.2
192841,EGYM,RAF MARHAM,1559,1,1,Invent Order,2,MRI MBM1280/1,2ZWH60706-0001,U1816,"WUC,EXT,WEAPON,AGP",1,null,null,null,RAF,Invoiced/Closed,7/5/2018 7:35,7/5/2018 8:41,8/21/2018 11:16,SO,617B,null,null,null,null,Consumable,0.05,OConUS,PAOOOP,7/5/2018,7/5/2018 7:35,7/5/2018 7:35,null,1,null,2,J89,7/5/2018 7:35,GIE Demand,FALSE,0.045833334
192842,S114,RNLAF LEEUWARDEN,7318,1,1,Invent Order,2,MRI MBM1280/1,2ZWH60706-0001,U1816,"WUC,EXT,WEAPON,AGP",1,null,null,null,Royal Netherlands Air Force,Invoiced/Closed,8/5/2021 13:45,8/5/2021 14:07,8/9/2021 7:46,SO,322A,null,null,null,null,Consumable,0.02,OConUS,PAOOOP,8/5/2021,8/5/2021 13:45,8/5/2021 13:45,null,1,null,2,J89,8/5/2021 13:45,GIE Demand,FALSE,0.015277778
192843,YWLM,RAAF WILLIAMTOWN,53088,1,1,Invent Order,2,MRI MBM1280/1,2ZWH60706-0001,U1816,"WUC,EXT,WEAPON,AGP",1,null,null,null,RAAF,Invoiced/Closed,1/19/2023 23:28,1/22/2023 23:47,1/23/2023 0:38,SO,2OCU,null,null,null,null,Consumable,3,OConUS,PAOOOP,1/19/2023,1/19/2023 23:28,1/19/2023 23:28,null,1,null,2,J89,1/19/2023 23:28,GIE Demand,FALSE,3.0131946
192844,EGYM,RAF MARHAM,1550,1,1,Invent Order,2,MRI MBM1280/1,2ZWH60706-0001,U1816,"WUC,EXT,WEAPON,AGP",1,null,null,null,RAF,Invoiced/Closed,7/5/2018 7:35,8/15/2018 21:33,8/21/2018 11:16,SO,617B,null,null,null,null,Consumable,41.37,OConUS,PAOOOP,7/5/2018,7/5/2018 7:35,7/5/2018 7:35,null,1,null,2,J89,7/5/2018 7:35,GIE Demand,FALSE,41.581944
192845,KNLC,NAS LEMOORE,64596,1,1,Invent Order,2,MRI MBM1280/1,2ZWH60706-0001,U1816,"WUC,EXT,WEAPON,AGP",1,null,null,null,USN,Invoiced/Closed,2/9/2022 7:31,2/9/2022 18:52,2/9/2022 22:51,SO,PJ2,null,null,null,null,Consumable,0.47,ConUS,PAOOOP,2/9/2022,2/9/2022 7:31,2/9/2022 7:31,null,1,null,2,J89,2/9/2022 7:31,GIE Demand,FALSE,0.47291666
192946,S114,RNLAF LEEUWARDEN,2704,1,1,Invent Order,2,MRI MBM1280/1,2ZWH60706-0001,U1816,"WUC,EXT,WEAPON,AGP",1,null,null,null,Royal Netherlands Air Force,Invoiced/Closed,8/17/2020 15:32,8/18/2020 7:10,8/18/2020 12:13,SO,322A,null,null,null,null,Consumable,0.65,OConUS,PAOOOP,8/17/2020,8/17/2020 15:32,8/17/2020 15:32,null,1,null,2,J89,8/17/2020 15:32,GIE Demand,FALSE,0.6513889
192947,KNYL,MCAS YUMA,52308,1,1,Invent Order,2,MRI MBM1280/1,2ZWH60706-0001,U1816,"WUC,EXT,WEAPON,AGP",1,null,null,null,USMC,Invoiced/Closed,9/18/2019 15:37,9/19/2019 9:29,9/19/2019 18:48,SO,GJ3,null,null,null,null,Consumable,0.74,ConUS,PAOOOP,9/18/2019,9/18/2019 15:37,9/18/2019 15:37,null,1,null,2,J89,9/18/2019 15:37,GIE Demand,FALSE,0.74444443
192948,S118,ANG BURLINGTON,16645,1,1,Invent Order,2,MRI MBM1280/1,2ZWH60706-0001,U1816,"WUC,EXT,WEAPON,AGP",1,null,null,null,Vermont ANG,Invoiced/Closed,10/11/2022 15:57,10/12/2022 14:26,10/12/2022 19:52,SO,158S,null,null,null,null,Consumable,0.93,ConUS,PAOOOP,10/11/2022,10/11/2022 15:57,10/11/2022 15:57,null,1,null,2,J89,10/11/2022 15:57,GIE Demand,FALSE,0.93680555
2041,KLUF,LUKE AFB,223593,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,1/13/2022 15:18,1/13/2022 15:27,1/13/2022 15:32,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,1/13/2022,1/13/2022 15:18,1/13/2022 15:18,null,1,null,3,J56,1/13/2022 15:18,GIE Demand,FALSE,0.00625
2042,KLUF,LUKE AFB,65618,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,4/25/2018 7:57,4/25/2018 8:17,4/25/2018 9:07,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,4/25/2018,4/25/2018 7:57,4/25/2018 7:57,null,1,null,3,J56,4/25/2018 7:57,GIE Demand,FALSE,0.013888889
2043,KLUF,LUKE AFB,134276,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,1/28/2020 1:23,1/28/2020 1:44,1/28/2020 1:54,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,1/28/2020,1/28/2020 1:23,1/28/2020 1:23,null,1,null,3,J56,1/28/2020 1:23,GIE Demand,FALSE,0.014583333
2044,KLUF,LUKE AFB,132496,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,1/13/2020 19:31,1/13/2020 19:41,1/13/2020 19:48,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,1/13/2020,1/13/2020 19:31,1/13/2020 19:31,null,1,null,3,J56,1/13/2020 19:31,GIE Demand,FALSE,0.006944445
2045,KLUF,LUKE AFB,54329,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,12/12/2017 16:41,12/12/2017 16:53,12/12/2017 16:58,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,12/12/2017,12/12/2017 16:41,12/12/2017 16:41,null,1,null,3,J56,12/12/2017 16:41,GIE Demand,FALSE,0.008333334
2046,KLUF,LUKE AFB,103303,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,4/26/2019 11:54,4/26/2019 12:02,4/26/2019 12:04,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,4/26/2019,4/26/2019 11:54,4/26/2019 11:55,null,1,null,3,J56,4/26/2019 11:54,GIE Demand,FALSE,0.005555556
2047,KLUF,LUKE AFB,71541,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,7/9/2018 7:59,7/9/2018 8:16,7/9/2018 11:50,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,7/9/2018,7/9/2018 7:59,7/9/2018 7:59,null,1,null,3,J56,7/9/2018 7:59,GIE Demand,FALSE,0.011805556
2048,KHIF,HILL AFB,103881,1,1,Invent Order,2,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,2/5/2021 23:52,2/6/2021 0:00,2/6/2021 0:08,SO,4FS,null,null,null,null,Repairable,0.01,ConUS,PAOODT,2/5/2021,2/5/2021 23:52,2/5/2021 23:52,null,1,null,2,J56,2/5/2021 23:52,GIE Demand,FALSE,0.005555556
2049,KHIF,HILL AFB,93260,1,1,Invent Order,2,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,9/16/2020 21:09,9/16/2020 21:23,9/16/2020 21:30,SO,34FS,null,null,null,null,Repairable,0.01,ConUS,PAOODT,9/16/2020,9/16/2020 21:09,9/16/2020 21:09,null,1,null,2,J56,9/16/2020 21:09,GIE Demand,FALSE,0.009722223
2050,KHIF,HILL AFB,95010,1,1,Invent Order,2,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,10/6/2020 13:51,10/6/2020 14:09,10/6/2020 14:12,SO,34FS,null,null,null,null,Repairable,0.01,ConUS,PAOODT,10/6/2020,10/6/2020 13:51,10/6/2020 13:51,null,1,null,2,J56,10/6/2020 13:51,GIE Demand,FALSE,0.0125
2051,KHIF,HILL AFB,89228,1,1,Invent Order,2,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,7/11/2020 1:41,7/11/2020 1:51,7/11/2020 1:54,SO,34FS,null,null,null,null,Repairable,0.01,ConUS,PAOODT,7/11/2020,7/11/2020 1:41,7/11/2020 1:41,null,1,null,2,J56,7/11/2020 1:41,GIE Demand,FALSE,0.006944445
2052,KHIF,HILL AFB,124061,1,1,Invent Order,2,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,10/29/2021 23:18,10/29/2021 23:31,10/29/2021 23:36,SO,34FS,null,null,null,null,Repairable,0.01,ConUS,PAOODT,10/29/2021,10/29/2021 23:18,10/29/2021 23:18,null,1,null,2,J56,10/29/2021 23:18,GIE Demand,FALSE,0.009027778
2053,KHIF,HILL AFB,98955,1,1,Invent Order,2,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,11/25/2020 0:48,11/25/2020 1:09,11/25/2020 1:17,SO,34FS,null,null,null,null,Repairable,0.01,ConUS,PAOODT,11/25/2020,11/25/2020 0:48,11/25/2020 0:48,null,1,null,2,J56,11/25/2020 0:48,GIE Demand,FALSE,0.014583333
2054,KHIF,HILL AFB,101570,1,1,Invent Order,2,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,1/8/2021 19:25,1/8/2021 19:35,1/8/2021 19:41,SO,34FS,null,null,null,null,Repairable,0.01,ConUS,PAOODT,1/8/2021,1/8/2021 19:25,1/8/2021 19:25,null,1,null,2,J56,1/8/2021 19:25,GIE Demand,FALSE,0.006944445
2055,KHIF,HILL AFB,89105,1,1,Invent Order,2,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,7/9/2020 19:45,7/9/2020 20:03,7/9/2020 20:09,SO,4FS,null,null,null,null,Repairable,0.01,ConUS,PAOODT,7/9/2020,7/9/2020 19:45,7/9/2020 19:45,null,1,null,2,J56,7/9/2020 19:45,GIE Demand,FALSE,0.0125
2056,KHIF,HILL AFB,84878,1,1,Invent Order,2,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,4/27/2020 18:36,4/27/2020 18:45,4/27/2020 18:54,SO,34FS,null,null,null,null,Repairable,0.01,ConUS,PAOODT,4/27/2020,4/27/2020 18:36,4/27/2020 18:36,null,1,null,2,J56,4/27/2020 18:36,GIE Demand,FALSE,0.00625
2057,KHIF,HILL AFB,129512,1,1,Invent Order,2,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,1/20/2022 2:07,1/20/2022 2:18,1/20/2022 2:23,SO,34FS,null,null,null,null,Repairable,0.01,ConUS,PAOODT,1/20/2022,1/20/2022 2:07,1/20/2022 2:07,null,1,null,2,J56,1/20/2022 2:07,GIE Demand,FALSE,0.007638889
2058,KHIF,HILL AFB,120820,1,1,Invent Order,2,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,9/22/2021 18:23,9/22/2021 18:44,9/22/2021 18:50,SO,34FS,null,null,null,null,Repairable,0.01,ConUS,PAOODT,9/22/2021,9/22/2021 18:23,9/22/2021 18:23,null,1,null,2,J56,9/22/2021 18:23,GIE Demand,FALSE,0.014583333
2059,KHIF,HILL AFB,110034,1,1,Invent Order,2,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,4/23/2021 3:20,4/23/2021 3:30,4/23/2021 3:34,SO,34FS,null,null,null,null,Repairable,0.01,ConUS,PAOODT,4/23/2021,4/23/2021 3:20,4/23/2021 3:20,null,1,null,2,J56,4/23/2021 3:20,GIE Demand,FALSE,0.006944445
2060,KHIF,HILL AFB,118995,1,1,Invent Order,2,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,8/31/2021 3:18,8/31/2021 3:30,8/31/2021 3:36,SO,34FS,null,null,null,null,Repairable,0.01,ConUS,PAOODT,8/31/2021,8/31/2021 3:18,8/31/2021 3:18,null,1,null,2,J56,8/31/2021 3:18,GIE Demand,FALSE,0.008333334
192949,KNYL,MCAS YUMA,52299,1,1,Invent Order,2,MRI MBM1280/1,2ZWH60706-0001,U1816,"WUC,EXT,WEAPON,AGP",1,null,null,null,USMC,Invoiced/Closed,9/18/2019 15:36,9/19/2019 9:26,9/19/2019 18:51,SO,GJ3,null,null,null,null,Consumable,0.74,ConUS,PAOOOP,9/18/2019,9/18/2019 15:36,9/18/2019 15:37,null,1,null,2,J89,9/18/2019 15:36,GIE Demand,FALSE,0.7430556
192950,KNLC,NAS LEMOORE,75336,1,1,Invent Order,2,MRI MBM1280/1,2ZWH60706-0001,U1816,"WUC,EXT,WEAPON,AGP",1,null,null,null,USN,Invoiced/Closed,8/10/2022 15:04,8/10/2022 16:52,8/10/2022 21:25,SO,PF6,null,null,null,null,Consumable,0.07,ConUS,PAOOOP,8/10/2022,8/10/2022 15:04,8/10/2022 15:04,null,1,null,2,J89,8/10/2022 15:04,GIE Demand,FALSE,0.075
192951,YWLM,RAAF WILLIAMTOWN,51011,1,1,Invent Order,2,MRI MBM1280/1,2ZWH60706-0001,U1816,"WUC,EXT,WEAPON,AGP",1,null,null,null,RAAF,Invoiced/Closed,11/21/2022 23:12,11/22/2022 21:43,11/22/2022 22:41,SO,77SQ,null,null,null,null,Consumable,0.93,OConUS,PAOOOP,11/21/2022,11/21/2022 23:12,11/21/2022 23:12,null,1,null,2,J89,11/21/2022 23:12,GIE Demand,FALSE,0.93819445
192952,S114,RNLAF LEEUWARDEN,2689,1,1,Invent Order,2,MRI MBM1280/1,2ZWH60706-0001,U1816,"WUC,EXT,WEAPON,AGP",1,null,null,null,Royal Netherlands Air Force,Invoiced/Closed,8/17/2020 12:30,8/17/2020 12:44,8/18/2020 12:07,SO,322A,null,null,null,null,Consumable,0.01,OConUS,PAOOOP,8/17/2020,8/17/2020 12:30,8/17/2020 12:30,null,1,null,2,J89,8/17/2020 12:30,GIE Demand,FALSE,0.009722223
192953,S114,RNLAF LEEUWARDEN,4446,1,1,Invent Order,2,MRI MBM1280/1,2ZWH60706-0001,U1816,"WUC,EXT,WEAPON,AGP",1,null,null,null,Royal Netherlands Air Force,Invoiced/Closed,2/5/2021 12:57,2/5/2021 13:29,2/9/2021 15:42,SO,322A,null,null,null,null,Consumable,0.02,OConUS,PAOOOP,2/5/2021,2/5/2021 12:57,2/5/2021 12:57,null,1,null,2,J89,2/5/2021 12:57,GIE Demand,FALSE,0.022222223
192954,KNYL,MCAS YUMA,52297,1,1,Invent Order,2,MRI MBM1280/1,2ZWH60706-0001,U1816,"WUC,EXT,WEAPON,AGP",1,null,null,null,USMC,Invoiced/Closed,9/18/2019 15:36,9/19/2019 9:26,9/19/2019 18:31,SO,GJ3,null,null,null,null,Consumable,0.74,ConUS,PAOOOP,9/18/2019,9/18/2019 15:36,9/18/2019 15:36,null,1,null,2,J89,9/18/2019 15:36,GIE Demand,FALSE,0.7430556
192955,KNBC,MCAS BEAUFORT,124421,1,1,Invent Order,2,MRI MBM1280/1,2ZWH60706-0001,U1816,"WUC,EXT,WEAPON,AGP",1,null,null,null,USMC,Invoiced/Closed,1/26/2022 18:27,1/26/2022 21:05,1/26/2022 22:35,SO,FE3,null,null,null,null,Consumable,0.11,ConUS,PAOOOP,1/26/2022,1/26/2022 18:27,1/26/2022 18:27,null,1,null,2,J89,1/26/2022 18:27,GIE Demand,FALSE,0.10972222
192956,YWLM,RAAF WILLIAMTOWN,50080,1,1,Invent Order,2,MRI MBM1280/1,2ZWH60706-0001,U1816,"WUC,EXT,WEAPON,AGP",1,null,null,null,RAAF,Invoiced/Closed,11/3/2022 4:10,11/3/2022 9:23,11/3/2022 10:16,SO,3SQN,null,null,null,null,Consumable,0.22,OConUS,PAOOOP,11/3/2022,11/3/2022 4:10,11/3/2022 4:10,null,1,null,2,J89,11/3/2022 4:10,GIE Demand,FALSE,0.21736111
192957,S130,RAAF TINDAL,2494,1,1,Invent Order,2,MRI MBM1280/1,2ZWH60706-0001,U1816,"WUC,EXT,WEAPON,AGP",1,null,null,null,RAAF,Invoiced/Closed,3/15/2022 4:46,3/15/2022 6:22,3/15/2022 23:38,SO,75SQ,null,null,null,null,Consumable,0.07,OConUS,PAOOOP,3/15/2022,3/15/2022 4:46,3/15/2022 4:46,null,1,null,2,J89,3/15/2022 4:46,GIE Demand,FALSE,0.06666667
192958,KNLC,NAS LEMOORE,75315,1,1,Invent Order,2,MRI MBM1280/1,2ZWH60706-0001,U1816,"WUC,EXT,WEAPON,AGP",1,null,null,null,USN,Invoiced/Closed,8/10/2022 14:45,8/10/2022 16:52,8/10/2022 21:25,SO,PF6,null,null,null,null,Consumable,0.09,ConUS,PAOOOP,8/10/2022,8/10/2022 14:45,8/10/2022 14:45,null,1,null,2,J89,8/10/2022 14:45,GIE Demand,FALSE,0.088194445
192959,LIBA,AMENDOLA AIR BASE,8615,1,1,Invent Order,2,MRI MBM1280/1,2ZWH60706-0001,U1816,"WUC,EXT,WEAPON,AGP",1,null,null,null,ITAF,Invoiced/Closed,12/10/2019 10:50,12/10/2019 12:55,12/10/2019 15:05,SO,32SA,null,null,null,null,Consumable,0.09,OConUS,PAOOOP,12/10/2019,12/10/2019 10:50,12/10/2019 10:50,null,1,null,2,J89,12/10/2019 10:50,GIE Demand,FALSE,0.08680555
192960,KNYL,MCAS YUMA,53733,1,1,Invent Order,2,MRI MBM1280/1,2ZWH60706-0001,U1816,"WUC,EXT,WEAPON,AGP",1,null,null,null,USMC,Invoiced/Closed,11/5/2019 16:44,11/5/2019 18:48,11/5/2019 20:58,SO,GJ3,null,null,null,null,Consumable,0.09,ConUS,PAOOOP,11/5/2019,11/5/2019 16:44,11/5/2019 16:44,null,1,null,2,J89,11/5/2019 16:44,GIE Demand,FALSE,0.08611111
192961,S118,ANG BURLINGTON,2579,1,1,Invent Order,2,MRI MBM1280/1,2ZWH60706-0001,U1816,"WUC,EXT,WEAPON,AGP",1,null,null,null,Vermont ANG,Invoiced/Closed,11/5/2019 18:56,11/5/2019 20:19,11/6/2019 12:38,SO,158S,null,null,null,null,Consumable,0.06,ConUS,PAOOOP,11/5/2019,11/5/2019 18:56,11/5/2019 18:56,null,1,null,2,J89,11/5/2019 18:56,GIE Demand,FALSE,0.057638887
